seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	numcodinggenes	name	freq	freqCMA
chr17	16693333	18823787	2130455	*	23995	0.9857053552823505	429	24kb_98.6%	TOP3A,MIEF2,TNFRSF13B,ATPAF2,MYO15A	SREBF1,TOP3A,MIEF2,TNFRSF13B,ATPAF2,FLCN,MYO15A,RAI1	TOM1L2,TOP3A,SMCR8,FLII,LLGL1	SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,NT5M,RASD1,MIEF2,SMCR8,TNFRSF13B,ATPAF2,TVP23B,COPS3,DRC3,MED9,ALKBH5,TBC1D28,FLCN,GID4,CCDC144A,DRG2,MPRIP,PLD6,LGALS9C,EVPLL,FLII,FOXO3B,LLGL1,MYO15A,PEMT,RAI1	SHMT1,SREBF1,TOM1L2,TOP3A,FBXW10,NT5M,RASD1,SMCR2,SMCR5,MIEF2,SMCR8,TNFRSF13B,ATPAF2,TVP23B,COTL1P1,COPS3,DRC3,MED9,FAM106A,ALKBH5,CCDC144B,TBC1D28,FLCN,TBC1D27P,GID4,CCDC144A,DRG2,MPRIP,SRP68P2,SRP68P1,PLD6,UPF3AP1,USP32P2,UBE2SP2,TBC1D3P4,BRI3P3,TRIM16L,MIR33B,ZNF286B,LGALS9C,EVPLL,RPL13P12,RPL21P121,RPL7AP65,FLII,KRT16P2,KRT16P4,FOXO3B,FAM106C,RAI1-AS1,MPRIP-AS1,USP32P1,TSEN15P1,TNPO1P2,RN7SL620P,RN7SL775P,RNU6-468P,RNU6-767P,YWHAEP2,ACTG1P24,MIR6777,MIR6778,KRT16P6,NOS2P4,KRT17P4,KRT17P5,LINC02076,LINC02090,KRT16P1,KRT17P1,KRT17P2,LLGL1,MYO15A,NOS2P2,PEMT,RAI1	76	31	SMS_UR2	0	14.95
chr15	22582835	28172134	5589300	*	4313	0.9503825643403664	425	4kb_95%	HERC2,OCA2	SNRPN,UBE3A,NIPA1,GABRA5,GABRB3,HERC2,MAGEL2,MKRN3,NDN,OCA2	ATP10A	SNRPN,SNURF,NPAP1,UBE3A,ATP10A,CYFIP1,NIPA1,NIPA2,TUBGCP5,GOLGA6L2,GOLGA8DP,GOLGA6L1,GABRA5,GABRB3,GABRG3,GOLGA8S,HERC2,MAGEL2,MKRN3,NDN,OCA2	RPL5P1,SNRPN,SNURF,NPAP1,UBE3A,ATP10A,CYFIP1,ABCB10P1,NIPA1,NIPA2,TUBGCP5,GOLGA8IP,GOLGA6L2,WHAMMP3,PWAR1,PWAR5,TVP23BP1,GOLGA8DP,SNORD64,SNORD107,SNORD108,SNORD109A,SNORD109B,SNORD115-1,SNORD115-2,SNORD115-3,SNORD115-4,SNORD115-5,SNORD115-6,SNORD115-7,SNORD115-8,SNORD115-9,SNORD115-10,SNORD115-11,SNORD115-12,SNORD115-13,SNORD115-14,SNORD115-15,SNORD115-16,SNORD115-17,SNORD115-18,SNORD115-19,SNORD115-20,SNORD115-21,SNORD115-22,SNORD115-23,SNORD115-24,SNORD115-25,SNORD115-26,SNORD115-27,SNORD115-28,SNORD115-29,SNORD115-30,SNORD115-31,SNORD115-32,SNORD115-33,SNORD115-34,SNORD115-35,SNORD115-36,SNORD115-37,SNORD115-38,SNORD115-39,SNORD115-40,SNORD115-41,SNORD115-42,SNORD115-43,SNORD115-44,SNORD115-45,SNORD115-47,SNORD116-1,SNORD116-2,SNORD116-3,SNORD116-4,SNORD116-5,SNORD116-6,SNORD116-7,SNORD116-8,SNORD116-9,SNORD116-10,SNORD116-11,SNORD116-12,SNORD116-13,SNORD116-14,SNORD116-15,SNORD116-16,SNORD116-17,SNORD116-18,SNORD116-19,SNORD116-20,SNORD116-21,SNORD116-22,SNORD116-23,SNORD116-24,SNORD116-25,SNORD116-26,SNORD116-27,PWRN1,PWRN2,SNORD115-48,SNORD116-28,SNORD116-29,RPL5P32,GOLGA6L1,SNHG14,ELMO2P1,GABRG3-AS1,GABRA5,GABRB3,GABRG3,MIR4508,MIR4715,MIR4509-1,SNORD116-30,SNORD115-46,RNA5SP390,RNA5SP391,SERPINE4P,GOLGA8S,RN7SL106P,RN7SL495P,RN7SL536P,RNU6-741P,LINC00929,HERC2,HERC2P2,HERC2P6,DMAC1P1,PWRN4,PDCD6IPP1,LINC02248,LINC02250,LINC02346,MAGEL2,MKRN3,NDN,OCA2	136	21	NA	NA	NA
chr22	18530098	21214537	2684440	*	342053	0.9856104170991046	422	342kb_98.6%	SLC25A1,SNAP29,CDC45,TXNRD2,SCARF2,TANGO2,GP1BB,LZTR1,PI4KA,PRODH	SLC25A1,SNAP29,TBX1,CDC45,TXNRD2,SCARF2,CRKL,TANGO2,GP1BB,SERPIND1,LZTR1,PI4KA,PRODH	CDC45,PI4KA	SLC25A1,SLC7A4,SNAP29,TSSK2,TBX1,UFD1,ZNF74,MED15,MRPL40,ESS2,CDC45,TXNRD2,ZDHHC8,DGCR6L,RTN4R,SCARF2,USP41,CLDN5,CLTCL1,COMT,THAP7,CRKL,TRMT2A,TANGO2,KLHL22,RTL10,AIFM3,C22orf39,DGCR2,DGCR6,DGCR8,RIMBP3,TMEM191B,LRRC74B,GGT2,GNB1L,GP1BB,GSC2,SERPIND1,HIRA,CCDC188,FAM246B,LZTR1,ARVCF,P2RX6,PI4KA,SEPTIN5,PRODH,RANBP1	BCRP2,BCRP5,SLC25A1,SLC7A4,SNAP29,TSSK1A,TSSK2,TBX1,UFD1,ZNF74,MED15,MRPL40,CA15P2,DGCR5,ESS2,DGCR11,CDC45,TXNRD2,ZDHHC8,DGCR6L,RTN4R,KRT18P5,SLC9A3P2,POM121L4P,SCARF2,USP41,CLDN5,CLTCL1,COMT,THAP7,CRKL,TUBA3FP,TRMT2A,TMEM191A,TANGO2,KLHL22,RTL10,AIFM3,LINC00896,C22orf39,DGCR2,DGCR6,DGCR8,RIMBP3,MIR185,MIR649,FAM230B,PI4KAP1,TMEM191B,ABHD17AP4,P2RX6P,LRRC74B,SUSD2P2,MIR1286,MIR1306,POM121L7P,IGLL4P,MIR3618,BCRP7,SMPD4P1,THAP7-AS1,RNY1P9,MIR4761,PPP1R26P2,PPP1R26P4,GGT2,GGT3P,GNB1L,TUBA3GP,CA15P1,GP1BB,RN7SKP131,GSC2,RN7SL168P,RN7SL812P,RNU6-225P,SERPIND1,LINC00895,KRT18P62,HIRA,MIR6816,LINC01311,E2F6P1,E2F6P2,CCDC188,CCDC74BP1,SNORA77B,FAM230G,LINC01637,FAM230E,FAM230F,FAM246C,FAM246B,FAM247A,LZTR1,ARVCF,P2RX6,PI4KA,SEPTIN5,PRODH,RANBP1	101	49	22q11.2_LCRA-D	177.1	4499
chr15	82353148	85378538	3025391	*	5943	0.9182231196365472	416	6kb_91.8%	ALPK3,WDR73,AP3B2	RPS17,BNC1,HOMER2,ALPK3,WDR73,AP3B2	BTBD1,ADAMTSL3,PDE8A	RPS17,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,ADAMTSL3,HOMER2,ALPK3,SEC11A,FSD2,ZSCAN2,CPEB1,HDGFL3,WDR73,GOLGA6L4,C15orf40,ZNF592,WHAMM,RAMAC,GOLGA6L9,AP3B2,NMB,PDE8A	RPS17,SCAND2P,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,ADAMTSL3,HOMER2,ALPK3,SEC11A,FSD2,ZSCAN2,CPEB1,HDGFL3,WDR73,GOLGA2P10,GOLGA6L4,CPEB1-AS1,C15orf40,ZNF592,CSPG4P5,GOLGA6L5P,WHAMM,RAMAC,FABP5P8,EFL1P1,SCARNA15,DNM1P38,DNM1P41,GOLGA6L9,UBE2Q2P1,UBE2Q2P2,GOLGA6L3,MIR4515,EGLN1P1,TUBAP4,UBE2Q2L,NIFKP8,RN7SL331P,RN7SL417P,RN7SL428P,RNU6-339P,RNU6-401P,RNU6-796P,RNU6-1339P,CSPG4P10,CSPG4P12,CSPG4P11,DNM1P51,LINC00933,ADAMTS7P4,UBE2Q2P6,GOLGA6L17P,GOLGA2P7,UBE2Q2P8,UBE2Q2P11,UBE2Q2P12,SNHG21,ACTG1P17,AP3B2,NMB,PDE8A	63	24	NA	NA	NA
chr8	7467000	11922364	4455365	*	14140	0.9194483734087695	415	14kb_91.9%	RP1L1,FDFT1	BLK,RP1L1,FDFT1,GATA4	MTMR9	BLK,TNKS,MTMR9,PPP1R3B,SLC35G5,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,DEFB107A,DEFB105A,DEFB106A,DEFB104A,SOX7,NEIL2,ERI1,CTSB,PRAG1,DEFB104B,DEFB4A,XKR6,DEFB106B,DEFB105B,PINX1,PRSS55,DEFB107B,FAM90A7P,FAM90A8P,FAM90A9P,FAM90A10P,FAM90A14P,FAM90A16P,FAM90A17P,FAM90A18P,FAM90A19P,FAM90A22P,FAM90A23P,ZNF705B,C8orf74,SPAG11A,FDFT1,USP17L3,USP17L8,PRSS51,GATA4,PRR23D2,PRR23D1,MSRA	RNU7-55P,BLK,TNKS,MTMR9,OR7E96P,PPP1R3B,LINC00208,LINC00529,SLC35G5,TDH,FAM167A-AS1,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,DEFB107A,DEFB105A,DEFB106A,DEFB108A,DEFB104A,SOX7,FAM66E,NEIL2,ERI1,CTSB,PRAG1,DEFB104B,MIR124-1HG,DEFB4A,XKR6,DEFB106B,DEFB105B,PINX1,PRSS55,OR7E157P,OR7E158P,OR7E154P,MIR124-1,DEFB107B,FAM85B,C8orf49,FAM90A6P,FAM90A7P,FAM90A8P,FAM90A9P,FAM90A10P,FAM90A11P,FAM90A12P,FAM90A14P,FAM90A16P,FAM90A17P,FAM90A18P,FAM90A19P,FAM90A21P,FAM90A22P,FAM90A23P,FAM90A24P,ZNF705B,C8orf74,SUB1P1,MIR597,MIR598,SPAG11A,MIR548I3,MIR1322,FDFT1,RPS3AP31,RPL19P13,USP17L3,USP17L8,PRSS51,PRSS52P,MIR4286,GATA4,MIR4660,RNA5SP252,DEFB109C,FAM86B3P,ALG1L13P,RN7SL178P,RN7SL293P,RNU6-526P,RNU6-682P,RNU6-729P,RNU6-1084P,RNU6-1151P,ENPP7P1,PRR23D2,PRR23D1,SNRPCP17,RPL10P19,HSPD1P2,PRR23D3P,MSRA	95	49	NA	NA	NA
chr16	15236112	21828814	6592703	*	80718	0.971964122005005	415	81kb_97.2%	ZP2,XYLT1,OTOA,NDE1,COQ7,ABCC6,ARL6IP1,MYH11	RPS15A,UMOD,ZP2,XYLT1,OTOA,NDE1,COQ7,CRYM,VPS35L,ABCC1,ABCC6,ARL6IP1,MYH11	ZP2,OTOA,TMC5,CCP110,VPS35L,PDILT,ABCC1	RPS15A,ACSM3,UMOD,ZP2,GPRC5B,XYLT1,OTOA,NDE1,ACSM1,BMERB1,GPR139,COQ7,NOMO2,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,VPS35L,REXO5,LYRM1,NOMO3,ACSM5,CEP20,ANKS4B,MPV17L,ITPRIPL2,PDILT,IQCK,DCUN1D3,NPIPB3,DNAH3,MARF1,GDE1,SMG1,TMEM159,ERI2,ACSM2B,ACSM2A,KNOP1,CLEC19A,NPIPA5,NPIPA7,NPIPA8,NPIPA9,GP2,ABCC1,ABCC6,IGSF6,ARL6IP1,MYH11	RPS15A,ACSM3,UMOD,ZP2,GPRC5B,XYLT1,OTOA,NDE1,ACSM1,BMERB1,GPR139,COQ7,NOMO2,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,VPS35L,REXO5,SLC7A5P2,LYRM1,NOMO3,ACSM5,CEP20,ANKS4B,MPV17L,ITPRIPL2,PDILT,IQCK,DCUN1D3,NPIPB3,DNAH3,MARF1,GDE1,SMG1,PKD1P1,PKD1P2,PKD1P4,PKD1P5,TMEM159,ERI2,RRN3P1,ACSM2B,SNX29P1,ACSM2A,MIR484,ABCC6P1,KNOP1,CRYM-AS1,CLEC19A,RPL7P47,RPL15P20,RPL17P40,MIR3179-3,MIR3180-3,MIR3179-2,MIR3180-2,MIR3680-1,NPIPA5,NPIPA7,NPIPA8,NPIPA9,SNRPEP3,MIR3670-2,GP2,RNU4-46P,RNU6-196P,RNU6-213P,RNU6-944P,RNU6-1005P,RNU6-1340P,LARP7P2,SMG1P3,MIR6770-3,MIR6770-2,MIR6511A2,MIR6506,MIR6511A4,MIR6511A3,MIR3670-4,MIR3670-3,MIR3179-4,ABCC1,ACSM5P1,LINC02858,TCERG1P2,ABCC6,IGSF6,ARL6IP1,MYH11	93	53	NA	NA	NA
chr15	28647336	34469450	5822115	*	49986	0.9117552914816148	414	50kb_91.2%	RYR3,SLC12A6,NOP10,OTUD7A,FAN1,TRPM1,NSMCE3	RYR3,SLC12A6,TJP1,NOP10,GREM1,OTUD7A,FAN1,TRPM1,NSMCE3	ARHGAP11A,CHRNA7,MTMR10,NUTM1	RYR3,SCG5,SLC12A6,TJP1,AVEN,KLF13,NOP10,CHRFAM7A,ARHGAP11B,ARHGAP11A,PGBD4,CHRM5,CHRNA7,GREM1,OTUD7A,EMC7,MTMR10,KATNBL1,EMC4,FAM189A1,FAN1,NUTM1,LPCAT4,GOLGA8A,GOLGA6L7,GOLGA8H,FMN1,GOLGA8J,GOLGA8K,GOLGA8M,GOLGA8N,GOLGA8O,GOLGA8R,GOLGA8Q,GOLGA8T,APBA2,TRPM1,NSMCE3	RYR3,SCG5,SLC12A6,SYNGR2P1,TJP1,AVEN,KLF13,NOP10,ULK4P1,ULK4P2,ULK4P3,CHRFAM7A,ARHGAP11B,ARHGAP11A,PGBD4,CHRM5,CHRNA7,GREM1,OTUD7A,EMC7,MTMR10,KATNBL1,EMC4,FAM189A1,FAN1,NUTM1,LPCAT4,HERC2P9,RPL32P2,DEPDC1P1,MIR211,GOLGA8A,LINC02249,WHAMMP2,HMGN2P5,MIR1233-1,TMCO5B,RNU6-17P,RNU6-18P,DNM1P28,DNM1P30,DNM1P31,DNM1P32,GOLGA6L7,GOLGA8H,FMN1,GOLGA8J,GOLGA8K,HERC2P10,SCG5-AS1,TUBBP8,UBE2CP4,GOLGA8M,GOLGA8N,GOLGA8O,GOLGA8R,GOLGA8Q,GOLGA8T,GOLGA8UP,RN7SL82P,RN7SL185P,RN7SL196P,RN7SL286P,RN7SL469P,RN7SL539P,RN7SL628P,RN7SL673P,RN7SL719P,RN7SL796P,RNU6-466P,DNM1P50,HNRNPA1P71,PDCD6IPP2,RYR3-DT,ACTG1P15,NCAPGP2,LINC02256,LINC02352,APBA2,TRPM1,NSMCE3	81	38	NA	NA	NA
chr15	29053771	34480161	5426391	*	4198	0.9340161981896141	412	4kb_93.4%	RYR3,SLC12A6,NOP10,OTUD7A,FAN1,TRPM1,NSMCE3	RYR3,SLC12A6,TJP1,NOP10,GREM1,OTUD7A,FAN1,TRPM1,NSMCE3	ARHGAP11A,CHRNA7,MTMR10,NUTM1	RYR3,SCG5,SLC12A6,TJP1,AVEN,KLF13,NOP10,CHRFAM7A,ARHGAP11B,ARHGAP11A,PGBD4,CHRM5,CHRNA7,GREM1,OTUD7A,EMC7,MTMR10,KATNBL1,EMC4,FAM189A1,FAN1,NUTM1,LPCAT4,GOLGA8A,GOLGA8H,FMN1,GOLGA8J,GOLGA8K,GOLGA8N,GOLGA8O,GOLGA8R,GOLGA8Q,GOLGA8T,APBA2,TRPM1,NSMCE3	RYR3,SCG5,SLC12A6,SYNGR2P1,TJP1,AVEN,KLF13,NOP10,ULK4P1,ULK4P2,ULK4P3,CHRFAM7A,ARHGAP11B,ARHGAP11A,PGBD4,CHRM5,CHRNA7,GREM1,OTUD7A,EMC7,MTMR10,KATNBL1,EMC4,FAM189A1,FAN1,NUTM1,LPCAT4,RPL32P2,DEPDC1P1,MIR211,GOLGA8A,LINC02249,HMGN2P5,MIR1233-1,TMCO5B,RNU6-17P,RNU6-18P,DNM1P28,DNM1P30,DNM1P31,DNM1P32,GOLGA8H,FMN1,GOLGA8J,GOLGA8K,HERC2P10,SCG5-AS1,TUBBP8,UBE2CP4,GOLGA8N,GOLGA8O,GOLGA8R,GOLGA8Q,GOLGA8T,GOLGA8UP,RN7SL82P,RN7SL185P,RN7SL196P,RN7SL286P,RN7SL469P,RN7SL539P,RN7SL628P,RN7SL673P,RN7SL796P,RNU6-466P,DNM1P50,HNRNPA1P71,RYR3-DT,ACTG1P15,NCAPGP2,LINC02256,LINC02352,APBA2,TRPM1,NSMCE3	75	36	NA	NA	NA
chr22	18458155	20338985	1880831	*	57329	0.9670847215196497	410	57kb_96.7%	SLC25A1,CDC45,TXNRD2,TANGO2,GP1BB,PRODH	SLC25A1,TBX1,CDC45,TXNRD2,TANGO2,GP1BB,PRODH	CDC45	SLC25A1,TSSK2,TBX1,UFD1,MRPL40,ESS2,CDC45,TXNRD2,ZDHHC8,DGCR6L,RTN4R,CLDN5,CLTCL1,COMT,TRMT2A,TANGO2,RTL10,C22orf39,DGCR2,DGCR6,DGCR8,RIMBP3,GGTLC3,TMEM191B,GNB1L,GP1BB,GSC2,HIRA,CCDC188,FAM246B,ARVCF,SEPTIN5,PRODH,RANBP1	SLC25A1,TSSK1A,TSSK2,TBX1,UFD1,MRPL40,CA15P2,DGCR5,ESS2,DGCR11,CDC45,TXNRD2,ZDHHC8,DGCR6L,RTN4R,CLDN5,CLTCL1,COMT,TRMT2A,TANGO2,RTL10,LINC00896,C22orf39,DGCR2,DGCR6,DGCR8,RIMBP3,MIR185,GGTLC3,PI4KAP1,TMEM191B,SUSD2P2,MIR1286,MIR1306,MIR3618,BCRP7,MIR4761,PPP1R26P2,PPP1R26P4,GGT3P,GNB1L,CA15P1,GP1BB,FAM230A,RN7SKP131,GSC2,RN7SL168P,LINC00895,KRT18P62,HIRA,MIR6816,LINC01311,E2F6P1,CCDC188,SNORA77B,FAM230G,FAM230E,FAM230F,FAM246C,FAM246B,FAM247B,ARVCF,SEPTIN5,PRODH,RANBP1	65	34	NA	NA	NA
chr3	195963652	197626678	1663027	*	48182	0.9681416296542277	408	48kb_96.8%	TFRC,NRROS,RNF168,CEP19,DYNLT2B,PCYT1A	TFRC,NRROS,RNF168,CEP19,DYNLT2B,PCYT1A	TFRC	BDH1,TFRC,ZDHHC19,NRROS,NCBP2AS2,TM4SF19,PIGX,RNF168,SMCO1,CEP19,SENP5,DYNLT2B,WDR53,DLG1,UBXN7,FBXO45,SLC51A,PIGZ,TM4SF19-DYNLT2B,MELTF,NCBP2,PAK2,PCYT1A	BDH1,TFRC,ZDHHC19,NRROS,NCBP2AS2,TM4SF19,PIGX,RNF168,SMCO1,CEP19,SENP5,DYNLT2B,WDR53,DLG1,UBXN7,FBXO45,SLC51A,PIGZ,RPS29P3,SDHAP1,RNU7-18P,RNU6-42P,MELTF-AS1,NCBP2-AS1,TM4SF19-AS1,UBXN7-AS1,MIR4797,DLG1-AS1,RN7SL434P,RN7SL738P,RNU4-89P,RNU6-646P,RNU6-910P,RNU6-1279P,LINC00885,LINC01063,TM4SF19-DYNLT2B,RPSAP69,LINC02012,MELTF,NCBP2,PAK2,PCYT1A	43	23	3q29	22.69	194.3
chr16	14783138	22523137	7740000	*	71599	0.9722342490816911	406	72kb_97.2%	UQCRC2,ZP2,XYLT1,OTOA,NDE1,COQ7,ABCC6,ARL6IP1,MYH11	RPS15A,UMOD,UQCRC2,ZP2,XYLT1,OTOA,NDE1,COQ7,CRYM,VPS35L,ABCC1,ABCC6,ARL6IP1,MYH11	ZP2,OTOA,TMC5,CCP110,VPS35L,PDILT,RRN3,ABCC1	RPS15A,ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,XYLT1,OTOA,NDE1,CDR2,ACSM1,BMERB1,GPR139,COQ7,NOMO2,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,VPS35L,REXO5,LYRM1,NOMO3,ACSM5,CEP20,ANKS4B,MPV17L,MOSMO,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,PDXDC1,DNAH3,MARF1,GDE1,NTAN1,SMG1,NOMO1,TMEM159,RRN3,POLR3E,ERI2,ACSM2B,ACSM2A,KNOP1,CLEC19A,SDR42E2,NPIPB5,NPIPA5,NPIPA7,NPIPA8,NPIPA9,NPIPB4,GP2,ABCC1,ABCC6,IGSF6,ARL6IP1,MYH11,NPIPA1	RPS15A,ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,XYLT1,OTOA,NDE1,CDR2,ACSM1,BMERB1,GPR139,COQ7,NOMO2,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,VPS35L,REXO5,SLC7A5P2,LYRM1,NOMO3,ACSM5,CEP20,ANKS4B,MPV17L,MOSMO,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,PDXDC1,DNAH3,MARF1,GDE1,NTAN1,SMG1,NOMO1,PKD1P1,PKD1P2,PKD1P3,PKD1P4,PKD1P5,PKD1P6,TMEM159,RRN3,POLR3E,ERI2,RRN3P1,ACSM2B,SNX29P1,ACSM2A,MIR484,ABCC6P1,ABCC6P2,KNOP1,CRYM-AS1,CLEC19A,NPIPP1,SDR42E2,RPL7P47,RPL15P20,RPL17P40,MIR1972-1,NPIPB5,RRN3P3,MIR3179-3,MIR3180-3,MIR3179-2,MIR3180-2,MIR3179-1,MIR3180-1,MIR3180-4,MIR3680-1,MIR3670-1,NPIPA5,NPIPA7,NPIPA8,NPIPA9,NPIPB4,SNRPEP3,MIR3670-2,SMG1P1,GP2,RNU4-46P,RNU6-196P,RNU6-213P,RNU6-944P,RNU6-1005P,RNU6-1340P,LARP7P2,SMG1P3,SMG1P4,MIR6770-3,MIR6770-2,MIR6511A1,MIR6511A2,MIR6506,MIR6511A4,MIR6770-1,MIR6511B2,MIR6511A3,MIR3670-4,MIR3670-3,MIR3179-4,ABCC1,ACSM5P1,MFSD13B,LINC02858,TCERG1P2,ABCC6,IGSF6,ARL6IP1,MYH11,NPIPA1	124	68	NA	NA	NA
chr15	82369585	85524540	3154956	*	1532	0.9197127937336814	402	2kb_92%	ALPK3,WDR73,AP3B2	RPS17,BNC1,HOMER2,ALPK3,WDR73,AP3B2	BTBD1,ADAMTSL3,PDE8A	RPS17,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,ADAMTSL3,HOMER2,ALPK3,SEC11A,FSD2,ZSCAN2,CPEB1,HDGFL3,WDR73,GOLGA6L4,C15orf40,ZNF592,WHAMM,RAMAC,AKAP13,GOLGA6L9,AP3B2,NMB,PDE8A	RPS17,SCAND2P,BNC1,SH3GL3,SLC28A1,BTBD1,TM6SF1,ADAMTSL3,HOMER2,ALPK3,SEC11A,FSD2,ZSCAN2,CPEB1,HDGFL3,WDR73,GOLGA2P10,GOLGA6L4,CPEB1-AS1,C15orf40,ZNF592,CSPG4P5,GOLGA6L5P,WHAMM,RAMAC,FABP5P8,FABP5P9,EFL1P1,SCARNA15,RNU7-79P,DNM1P38,DNM1P41,AKAP13,GOLGA6L9,UBE2Q2P1,UBE2Q2P2,GOLGA6L3,MIR4515,EGLN1P1,TUBAP4,UBE2Q2L,NIFKP8,RN7SL331P,RN7SL417P,RN7SL428P,RNU6-339P,RNU6-401P,RNU6-796P,RNU6-1339P,CSPG4P10,CSPG4P12,CSPG4P11,DNM1P51,LINC00933,ADAMTS7P4,UBE2Q2P6,GOLGA6L17P,GOLGA2P7,UBE2Q2P8,UBE2Q2P11,UBE2Q2P12,MIR7706,SNHG21,ACTG1P17,AP3B2,NMB,PDE8A	67	25	NA	NA	NA
chr10	42781300	46785349	4004050	*	13698	0.9175792086435977	401	14kb_91.8%	RET	BMS1,RET	BMS1,ALOX5	CXCL12,ZNF22,ZNF239,ZNF32,OR13A1,SYT15,TIMM23,RASSF4,ANXA8L1,DEPP1,MARCHF8,WASHC2C,ZNF485,AGAP4,ZNF487,ZFAND4,BMS1,GPRIN2,RASGEF1A,CSGALNACT2,ANTXRL,TMEM72,FXYD4,ALOX5,HNRNPF,MSMB,NCOA4,NPY4R,RET	RHEBP1,CXCL12,ZNF22,ZNF239,ZNF32,HNRNPA3P1,OR13A1,OR6D1P,SYT15,TIMM23,RASSF4,ANXA8L1,DEPP1,MARCHF8,WASHC2C,ZNF485,AGAP4,AGAP7P,ZNF487,ZFAND4,BMS1,ZNF22-AS1,ZNF32-AS1,ZNF32-AS3,FAM25BP,FAM25E,ZNF32-AS2,AGAP10P,AGAP14P,GPRIN2,RASGEF1A,CSGALNACT2,CTSLP3,ANTXRL,TMEM72-AS1,LINC00841,ANKRD30BP3,SHLD2P1,TMEM72,CAP1P2,DUXAP4,RPS19P7,RPL21P88,RPL9P21,RPL23AP61,RPL35AP23,UQCRHP3,MIR3156-1,ANKRD54P1,EIF2AP4,FXYD4,RNA5SP310,GLUD1P2,ALOX5,MIR5100,RSU1P2,CUBNP2,CUBNP3,SPRING1P1,LINC00840,CEP164P1,LINC00842,HNRNPA1P33,ANTXRLP1,PARGP1,FAM21FP,RNU7-193P,RN7SL248P,RNU6ATAC11P,RNU6-885P,RNU6-1207P,ELOCP30,LINC01264,HNRNPF,LINC02881,SNORA74C-1,SNORD3J,LINC02623,LINC02633,LINC02637,FAM245B,LINC02658,LINC02659,CSGALNACT2-DT,MSMB,NCOA4,NPY4R,RET	88	29	NA	NA	NA
chr15	23286126	28251050	4964925	*	7743	0.9307761849412373	401	8kb_93.1%	HERC2,OCA2	SNRPN,UBE3A,GABRA5,GABRB3,HERC2,MAGEL2,MKRN3,NDN,OCA2	ATP10A	SNRPN,SNURF,NPAP1,UBE3A,ATP10A,GOLGA6L2,GABRA5,GABRB3,GABRG3,GOLGA8S,HERC2,MAGEL2,MKRN3,NDN,OCA2	RPL5P1,SNRPN,SNURF,NPAP1,UBE3A,ATP10A,GOLGA6L2,PWAR1,PWAR5,TVP23BP1,SNORD64,SNORD107,SNORD108,SNORD109A,SNORD109B,SNORD115-1,SNORD115-2,SNORD115-3,SNORD115-4,SNORD115-5,SNORD115-6,SNORD115-7,SNORD115-8,SNORD115-9,SNORD115-10,SNORD115-11,SNORD115-12,SNORD115-13,SNORD115-14,SNORD115-15,SNORD115-16,SNORD115-17,SNORD115-18,SNORD115-19,SNORD115-20,SNORD115-21,SNORD115-22,SNORD115-23,SNORD115-24,SNORD115-25,SNORD115-26,SNORD115-27,SNORD115-28,SNORD115-29,SNORD115-30,SNORD115-31,SNORD115-32,SNORD115-33,SNORD115-34,SNORD115-35,SNORD115-36,SNORD115-37,SNORD115-38,SNORD115-39,SNORD115-40,SNORD115-41,SNORD115-42,SNORD115-43,SNORD115-44,SNORD115-45,SNORD115-47,SNORD116-1,SNORD116-2,SNORD116-3,SNORD116-4,SNORD116-5,SNORD116-6,SNORD116-7,SNORD116-8,SNORD116-9,SNORD116-10,SNORD116-11,SNORD116-12,SNORD116-13,SNORD116-14,SNORD116-15,SNORD116-16,SNORD116-17,SNORD116-18,SNORD116-19,SNORD116-20,SNORD116-21,SNORD116-22,SNORD116-23,SNORD116-24,SNORD116-25,SNORD116-26,SNORD116-27,PWRN1,PWRN2,SNORD115-48,SNORD116-28,SNORD116-29,RPL5P32,SNHG14,GABRG3-AS1,GABRA5,GABRB3,GABRG3,MIR4508,MIR4715,SNORD116-30,SNORD115-46,RNA5SP390,RNA5SP391,SERPINE4P,GOLGA8S,RN7SL536P,RNU6-741P,LINC00929,HERC2,HERC2P6,DMAC1P1,PWRN4,LINC02248,LINC02250,LINC02346,MAGEL2,MKRN3,NDN,OCA2	121	15	NA	NA	NA
